[-0.13131609371359185, 0.0791083582790098]
[-0.14133099845872324, 0.08133562589121006]
[-0.15102364547266975, 0.08337719654659154]
[-0.1604255357256085, 0.08525807363526286]
[-0.1695630374130155, 0.08699831348478168]
[-0.1784585029518884, 0.08861427371549757]
[-0.1871310898970374, 0.09011948737551652]
[-0.19559737657951234, 0.0915252906377813]
[-0.20387183208060045, 0.09284128348645278]
[-0.2119671807006613, 0.09407567435841001]
[-0.2198946886031069, 0.09523554236397863]
[-0.22766439210673253, 0.09632703981956332]
[-0.23528528157975254, 0.09735555079898812]
[-0.2427654511007367, 0.09832581676884178]
[-0.25011222140399636, 0.0992420372406696]
[-0.25733224174549735, 0.10010795121777252]
[-0.2644315749679443, 0.10092690370565241]
[-0.27141576905066395, 0.10170190048203312]
[-0.278289917694145, 0.10243565354796327]
[-0.28505871193748744, 0.1031306191151462]
[-0.29172648438894944, 0.10378902956533308]
[-0.2982972473297146, 0.10441292050363699]
[-0.30477472570364966, 0.10500415379003765]
[-0.3111623858129887, 0.10556443725179582]
[-0.3174634603883064, 0.10609534163950007]
[-0.3236809705810907, 0.10659831528059083]
[-0.329817745331452, 0.10707469679885383]
[-0.3358764384865783, 0.107525726200963]
[-0.34185954398336704, 0.10795255457753371]
[-0.34776940935809986, 0.10835625262321592]
